treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
131,RickerModelWDiffusionDispersal,6.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
132,RickerModelWStochasticDispersal,6.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
133,RickerModelWDiffusionDispersal,6.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
134,RickerModelWStochasticDispersal,6.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
135,RickerModelWDiffusionDispersal,6.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
136,RickerModelWStochasticDispersal,6.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
137,RickerModelWDiffusionDispersal,6.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
138,RickerModelWStochasticDispersal,6.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
139,RickerModelWDiffusionDispersal,7.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
140,RickerModelWStochasticDispersal,7.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
141,RickerModelWDiffusionDispersal,7.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
142,RickerModelWStochasticDispersal,7.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
143,RickerModelWDiffusionDispersal,7.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
144,RickerModelWStochasticDispersal,7.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
145,RickerModelWDiffusionDispersal,7.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
146,RickerModelWStochasticDispersal,7.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
147,RickerModelWDiffusionDispersal,8.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
148,RickerModelWStochasticDispersal,8.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
149,RickerModelWDiffusionDispersal,8.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
150,RickerModelWStochasticDispersal,8.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
151,RickerModelWDiffusionDispersal,8.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
152,RickerModelWStochasticDispersal,8.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
153,RickerModelWDiffusionDispersal,8.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
154,RickerModelWStochasticDispersal,8.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
155,RickerModelWDiffusionDispersal,9.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
156,RickerModelWStochasticDispersal,9.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
157,RickerModelWDiffusionDispersal,9.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
158,RickerModelWStochasticDispersal,9.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
159,RickerModelWDiffusionDispersal,9.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
160,RickerModelWStochasticDispersal,9.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
161,RickerModelWDiffusionDispersal,9.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
162,RickerModelWStochasticDispersal,9.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
163,RickerModelWDiffusionDispersal,10.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
164,RickerModelWStochasticDispersal,10.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
165,RickerModelWDiffusionDispersal,10.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
166,RickerModelWStochasticDispersal,10.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
167,RickerModelWDiffusionDispersal,10.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
168,RickerModelWStochasticDispersal,10.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
169,RickerModelWDiffusionDispersal,10.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
170,RickerModelWStochasticDispersal,10.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
171,RickerModelWDiffusionDispersal,11.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
172,RickerModelWStochasticDispersal,11.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
173,RickerModelWDiffusionDispersal,11.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
174,RickerModelWStochasticDispersal,11.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
175,RickerModelWDiffusionDispersal,11.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
176,RickerModelWStochasticDispersal,11.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
177,RickerModelWDiffusionDispersal,11.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
178,RickerModelWStochasticDispersal,11.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
179,RickerModelWDiffusionDispersal,12.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
180,RickerModelWStochasticDispersal,12.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
181,RickerModelWDiffusionDispersal,12.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
182,RickerModelWStochasticDispersal,12.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
183,RickerModelWDiffusionDispersal,12.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
184,RickerModelWStochasticDispersal,12.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
185,RickerModelWDiffusionDispersal,12.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
186,RickerModelWStochasticDispersal,12.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
187,RickerModelWDiffusionDispersal,13.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
188,RickerModelWStochasticDispersal,13.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
189,RickerModelWDiffusionDispersal,13.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
190,RickerModelWStochasticDispersal,13.25,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
191,RickerModelWDiffusionDispersal,13.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
192,RickerModelWStochasticDispersal,13.5,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
193,RickerModelWDiffusionDispersal,13.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
194,RickerModelWStochasticDispersal,13.75,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
195,RickerModelWDiffusionDispersal,14.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
