treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
47,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,13,0.01,1.0,0.01,false
48,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,13,0.01,1.0,0.01,false
49,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,14,0.01,1.0,0.01,false
50,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,14,0.01,1.0,0.01,false
51,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,14,0.01,1.0,0.01,false
52,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,14,0.01,1.0,0.01,false
53,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,15,0.01,1.0,0.01,false
54,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,15,0.01,1.0,0.01,false
55,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,15,0.01,1.0,0.01,false
56,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,15,0.01,1.0,0.01,false
57,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,16,0.01,1.0,0.01,false
58,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,16,0.01,1.0,0.01,false
59,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,16,0.01,1.0,0.01,false
60,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,16,0.01,1.0,0.01,false
61,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,17,0.01,1.0,0.01,false
62,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,17,0.01,1.0,0.01,false
63,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,17,0.01,1.0,0.01,false
64,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,17,0.01,1.0,0.01,false
65,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,18,0.01,1.0,0.01,false
66,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,18,0.01,1.0,0.01,false
67,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,18,0.01,1.0,0.01,false
68,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,18,0.01,1.0,0.01,false
69,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,19,0.01,1.0,0.01,false
70,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,19,0.01,1.0,0.01,false
71,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,19,0.01,1.0,0.01,false
72,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,19,0.01,1.0,0.01,false
73,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,20,0.01,1.0,0.01,false
74,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,20,0.01,1.0,0.01,false
75,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,20,0.01,1.0,0.01,false
76,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,20,0.01,1.0,0.01,false
77,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,21,0.01,1.0,0.01,false
78,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,21,0.01,1.0,0.01,false
79,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,21,0.01,1.0,0.01,false
80,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,21,0.01,1.0,0.01,false
81,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,22,0.01,1.0,0.01,false
82,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,22,0.01,1.0,0.01,false
83,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,22,0.01,1.0,0.01,false
84,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,22,0.01,1.0,0.01,false
85,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,23,0.01,1.0,0.01,false
86,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,23,0.01,1.0,0.01,false
87,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,23,0.01,1.0,0.01,false
88,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,23,0.01,1.0,0.01,false
89,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,24,0.01,1.0,0.01,false
90,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,24,0.01,1.0,0.01,false
91,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,24,0.01,1.0,0.01,false
92,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,24,0.01,1.0,0.01,false
93,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,25,0.01,1.0,0.01,false
94,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,25,0.01,1.0,0.01,false
95,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,25,0.01,1.0,0.01,false
96,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,25,0.01,1.0,0.01,false
97,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,2,0.02,1.0,0.01,false
98,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,2,0.02,1.0,0.01,false
99,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,2,0.02,1.0,0.01,false
100,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,2,0.02,1.0,0.01,false
101,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,3,0.02,1.0,0.01,false
102,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,3,0.02,1.0,0.01,false
103,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,3,0.02,1.0,0.01,false
104,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,3,0.02,1.0,0.01,false
105,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,4,0.02,1.0,0.01,false
106,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,4,0.02,1.0,0.01,false
107,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,4,0.02,1.0,0.01,false
108,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,4,0.02,1.0,0.01,false
109,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,5,0.02,1.0,0.01,false
110,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,5,0.02,1.0,0.01,false
111,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,5,0.02,1.0,0.01,false
112,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,5,0.02,1.0,0.01,false
113,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,6,0.02,1.0,0.01,false
114,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,6,0.02,1.0,0.01,false
115,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,6,0.02,1.0,0.01,false
116,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,6,0.02,1.0,0.01,false
117,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,7,0.02,1.0,0.01,false
118,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,7,0.02,1.0,0.01,false
119,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,7,0.02,1.0,0.01,false
120,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,7,0.02,1.0,0.01,false
121,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,8,0.02,1.0,0.01,false
122,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,8,0.02,1.0,0.01,false
123,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,8,0.02,1.0,0.01,false
124,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,8,0.02,1.0,0.01,false
125,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,9,0.02,1.0,0.01,false
126,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,9,0.02,1.0,0.01,false
127,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,9,0.02,1.0,0.01,false
128,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,9,0.02,1.0,0.01,false
129,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,10,0.02,1.0,0.01,false
130,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,10,0.02,1.0,0.01,false
131,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,10,0.02,1.0,0.01,false
132,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,10,0.02,1.0,0.01,false
133,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,11,0.02,1.0,0.01,false
134,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,11,0.02,1.0,0.01,false
135,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,11,0.02,1.0,0.01,false
136,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,11,0.02,1.0,0.01,false
137,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,12,0.02,1.0,0.01,false
138,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,12,0.02,1.0,0.01,false
139,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,12,0.02,1.0,0.01,false
140,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,12,0.02,1.0,0.01,false
141,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,13,0.02,1.0,0.01,false
142,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,13,0.02,1.0,0.01,false
143,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,13,0.02,1.0,0.01,false
144,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,13,0.02,1.0,0.01,false
145,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,14,0.02,1.0,0.01,false
146,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,14,0.02,1.0,0.01,false
147,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,14,0.02,1.0,0.01,false
148,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,14,0.02,1.0,0.01,false
149,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,15,0.02,1.0,0.01,false
150,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,15,0.02,1.0,0.01,false
151,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,15,0.02,1.0,0.01,false
152,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,15,0.02,1.0,0.01,false
153,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,16,0.02,1.0,0.01,false
154,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,16,0.02,1.0,0.01,false
155,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,16,0.02,1.0,0.01,false
156,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,16,0.02,1.0,0.01,false
157,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,17,0.02,1.0,0.01,false
158,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,17,0.02,1.0,0.01,false
159,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,17,0.02,1.0,0.01,false
160,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,17,0.02,1.0,0.01,false
161,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,18,0.02,1.0,0.01,false
162,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,18,0.02,1.0,0.01,false
163,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,18,0.02,1.0,0.01,false
164,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,18,0.02,1.0,0.01,false
165,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,19,0.02,1.0,0.01,false
166,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,19,0.02,1.0,0.01,false
167,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,19,0.02,1.0,0.01,false
168,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,19,0.02,1.0,0.01,false
169,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,20,0.02,1.0,0.01,false
170,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,20,0.02,1.0,0.01,false
171,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,20,0.02,1.0,0.01,false
172,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,20,0.02,1.0,0.01,false
173,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,21,0.02,1.0,0.01,false
174,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,21,0.02,1.0,0.01,false
175,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,21,0.02,1.0,0.01,false
176,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,21,0.02,1.0,0.01,false
177,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,22,0.02,1.0,0.01,false
178,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,22,0.02,1.0,0.01,false
179,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,22,0.02,1.0,0.01,false
180,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,22,0.02,1.0,0.01,false
181,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,23,0.02,1.0,0.01,false
182,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,23,0.02,1.0,0.01,false
183,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,23,0.02,1.0,0.01,false
184,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,23,0.02,1.0,0.01,false
185,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,24,0.02,1.0,0.01,false
186,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,24,0.02,1.0,0.01,false
187,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,24,0.02,1.0,0.01,false
188,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,24,0.02,1.0,0.01,false
189,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,25,0.02,1.0,0.01,false
190,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,25,0.02,1.0,0.01,false
191,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,25,0.02,1.0,0.01,false
192,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,25,0.02,1.0,0.01,false
193,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,2,0.03,1.0,0.01,false
194,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,2,0.03,1.0,0.01,false
195,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,2,0.03,1.0,0.01,false
196,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,2,0.03,1.0,0.01,false
