treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
5288,RickerModelWStochasticDispersal,13.5,50,0.03,1007929834,ExpKernel,0,10,0.27,1.0,0.01,false
5289,RickerModelWDiffusionDispersal,13.75,50,0.03,1007929834,ExpKernel,0,10,0.27,1.0,0.01,false
5290,RickerModelWStochasticDispersal,13.75,50,0.03,1007929834,ExpKernel,0,10,0.27,1.0,0.01,false
5291,RickerModelWDiffusionDispersal,14.0,50,0.03,1007929834,ExpKernel,0,10,0.27,1.0,0.01,false
5292,RickerModelWStochasticDispersal,14.0,50,0.03,1007929834,ExpKernel,0,10,0.27,1.0,0.01,false
5293,RickerModelWDiffusionDispersal,2.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5294,RickerModelWStochasticDispersal,2.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5295,RickerModelWDiffusionDispersal,2.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5296,RickerModelWStochasticDispersal,2.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5297,RickerModelWDiffusionDispersal,2.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5298,RickerModelWStochasticDispersal,2.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5299,RickerModelWDiffusionDispersal,2.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5300,RickerModelWStochasticDispersal,2.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5301,RickerModelWDiffusionDispersal,3.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5302,RickerModelWStochasticDispersal,3.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5303,RickerModelWDiffusionDispersal,3.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5304,RickerModelWStochasticDispersal,3.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5305,RickerModelWDiffusionDispersal,3.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5306,RickerModelWStochasticDispersal,3.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5307,RickerModelWDiffusionDispersal,3.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5308,RickerModelWStochasticDispersal,3.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5309,RickerModelWDiffusionDispersal,4.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5310,RickerModelWStochasticDispersal,4.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5311,RickerModelWDiffusionDispersal,4.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5312,RickerModelWStochasticDispersal,4.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5313,RickerModelWDiffusionDispersal,4.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5314,RickerModelWStochasticDispersal,4.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5315,RickerModelWDiffusionDispersal,4.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5316,RickerModelWStochasticDispersal,4.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5317,RickerModelWDiffusionDispersal,5.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5318,RickerModelWStochasticDispersal,5.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
