treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
49,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
50,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.01,1.0,0.01,false
51,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
52,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
53,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
54,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
55,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
56,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
57,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
58,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
59,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
60,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.01,1.0,0.01,false
61,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
62,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
63,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
64,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
65,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
66,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
67,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
68,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
69,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
70,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.01,1.0,0.01,false
71,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
72,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
73,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
74,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
75,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
76,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
77,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
78,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
79,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
80,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.01,1.0,0.01,false
81,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
82,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
83,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
84,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
85,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
86,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
87,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
88,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
89,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
90,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.02,1.0,0.01,false
91,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
92,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
93,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
94,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
95,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
96,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
97,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
98,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
99,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
100,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.02,1.0,0.01,false
101,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
102,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
103,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
104,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
105,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
106,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
107,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
108,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
109,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
110,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.02,1.0,0.01,false
111,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
112,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
113,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
114,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
115,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
116,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
117,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
118,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
119,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
120,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.02,1.0,0.01,false
121,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
122,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
123,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
124,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
125,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
126,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
127,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
128,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
129,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
130,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.03,1.0,0.01,false
131,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
132,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
133,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
134,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
135,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
136,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
137,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
138,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
139,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
140,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.03,1.0,0.01,false
141,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
142,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
143,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
144,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
145,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
146,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
147,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
148,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
149,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
150,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.03,1.0,0.01,false
151,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
152,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
153,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
154,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
155,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
156,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
157,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
158,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
159,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
160,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.03,1.0,0.01,false
161,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
162,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
163,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
164,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
165,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
166,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
167,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
168,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
169,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
170,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.04,1.0,0.01,false
171,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
172,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
173,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
174,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
175,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
176,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
177,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
178,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
179,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
180,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.04,1.0,0.01,false
181,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
182,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
183,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
184,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
185,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
186,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
187,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
188,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
189,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
190,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.04,1.0,0.01,false
191,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
192,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
193,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
194,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
195,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
196,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
197,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
198,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
199,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
200,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.04,1.0,0.01,false
201,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
202,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
203,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
204,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
205,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
206,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
